Elements Clean Sheets Per 90,Elements Saves,Elements Transfers In Event,Elements Form Rank,Elements Transfers Out Event,Elements Assists,Elements Expected Goals Conceded Per 90,Elements Saves Per 90,Elements Goals Conceded Per 90,Elements Expected Assists Per 90,Elements Yellow Cards,Elements Event Points
0.08450000000000003,2.0,11.0,731.55,5.0,1.0,0.82,1.88,0.7445,0.01,1.0,1.0
0.3,2.0,67.0,731.55,5730.0,2.0,0.87,1.88,0.75,0.08,4.0,1.0
0.33,2.0,23890.399999999987,136.0,14317.0,2.0,0.93,1.88,0.95,0.05,3.0,2.0
0.34,2.0,23890.399999999987,39.45,7006.0,3.0,0.93,1.88,0.98,0.08,4.0,10.549999999999955
0.34,2.0,23890.399999999987,469.0,14.0,3.0,0.93,1.88,0.98,0.08,4.0,10.549999999999955
0.36,2.0,9802.0,173.0,6015.0,1.0,0.82,1.88,0.82,0.05,7.0,1.0
0.2,2.0,223.0,670.0,380.0,1.0,0.84,1.88,0.99,0.09,3.0,1.0
0.28,2.0,169.0,688.0,241.0,1.0,1.24,1.88,1.39,0.01,3.0,1.0
0.43,2.0,15394.0,68.0,5928.0,3.0,0.91,1.88,0.93,0.18,1.0,5.0
0.43,2.0,11103.0,203.0,1159.0,3.0,0.82,1.88,0.7445,0.14,1.0,6.0
0.42,2.0,18252.0,69.0,4738.0,3.0,0.82,1.88,0.77,0.23,2.0,6.0
0.33,59.0,19275.0,83.0,17274.99999999997,3.0,0.88,2.46,0.92,0.23,2.0,3.0
0.31,59.0,8974.0,57.0,2384.0,5.0,0.83,2.46,1.04,0.21,3.0,10.0
0.43,59.0,279.0,731.55,11596.0,6.0,0.82,2.46,0.92,0.29549999999999954,3.0,10.0
0.38,59.0,21218.0,105.0,12273.0,6.0,0.82,2.46,0.84,0.04,2.0,2.0
0.24,59.0,2592.0,74.0,880.0,3.0,0.94,2.46,0.97,0.08,2.0,8.0
0.24,59.0,176.0,331.0,131.0,3.0,1.18,2.46,0.97,0.29549999999999954,2.0,8.0
0.24,59.0,17.0,684.0,23.0,3.0,0.82,2.46,0.97,0.29549999999999954,2.0,8.0
0.37,59.0,16572.0,39.45,7505.0,5.0,0.82,2.46,0.99,0.15,1.0,2.0
0.39,59.0,63.0,731.55,1320.0,1.0,1.28,2.46,0.91,0.04,2.0,2.0
0.54,59.0,353.0,398.0,596.0,1.0,0.82,2.46,0.91,0.03,1.0,2.0
0.54,11.0,322.0,519.0,557.0,1.0,1.46,5.5,1.0,0.03,1.0,2.0
0.54,11.0,277.0,318.0,429.0,1.0,0.82,5.5,0.85,0.06,1.0,1.0
0.12,11.0,3019.0,192.0,1747.0,1.0,0.97,5.5,1.2,0.07,3.0,1.0
0.33,11.0,9329.0,183.0,669.0,1.0,0.91,5.5,1.15,0.03,2.0,7.0
0.24,11.0,217.0,289.0,269.0,1.0,0.84,5.5,1.07,0.08,2.0,1.0
0.24,11.0,27.0,622.0,32.0,1.0,0.84,5.5,1.07,0.08,2.0,1.0
0.24,11.0,87.0,647.0,85.0,1.0,0.84,5.5,1.07,0.08,2.0,1.0
0.24,11.0,125.0,503.0,226.0,1.0,0.84,5.5,1.07,0.08,2.0,1.0
0.24,11.0,31.0,657.0,35.0,1.0,0.84,5.5,1.07,0.08,2.0,1.0
0.24,11.0,109.0,477.0,82.0,1.0,0.84,5.5,1.07,0.08,2.0,1.0
0.24,11.0,427.0,604.0,612.0,1.0,0.84,5.5,1.07,0.08,2.0,1.0
0.24,11.0,4438.0,39.45,676.0,1.0,0.84,5.5,1.07,0.08,2.0,10.549999999999955
0.24,11.0,99.0,514.0,35.0,1.0,0.84,5.5,1.07,0.08,2.0,10.549999999999955
0.18,11.0,1183.0,263.0,1380.0,2.0,1.02,5.5,1.4,0.25,2.0,1.0
0.17,11.0,11.0,731.0,415.0,1.0,0.89,5.5,1.49,0.07,3.0,1.0
0.17,11.0,11.0,705.0,5.0,1.0,0.89,5.5,1.49,0.07,3.0,1.0
0.17,11.0,28.0,343.0,235.0,1.0,2.3,5.5,2.02,0.03,1.0,1.0
0.14,11.0,39.0,108.0,8950.0,1.0,1.26,5.5,1.22,0.07,5.0,1.0
0.14,11.0,39.0,586.0,104.0,1.0,1.26,5.5,1.22,0.07,5.0,1.0
0.14,11.0,39.0,731.55,5.0,1.0,1.26,5.5,1.22,0.07,5.0,1.0
0.22,11.0,39.0,587.0,682.0,1.0,1.29,5.5,1.63,0.01,1.0,1.0
0.15,11.0,7084.0,99.0,9265.0,4.0,1.27,5.5,1.47,0.15,3.0,1.0
0.15,11.0,7084.0,719.0,5.0,4.0,1.27,5.5,1.47,0.15,3.0,1.0
0.29,11.0,1267.0,351.0,17274.99999999997,4.0,1.44,5.5,2.03,0.03,3.0,1.0
0.29,11.0,42.0,468.0,874.0,4.0,1.44,5.5,2.03,0.03,3.0,1.0
0.29,11.0,764.0,418.0,660.0,4.0,1.44,5.5,2.03,0.03,3.0,1.0
0.29,11.0,764.0,731.55,5.0,4.0,1.44,5.5,2.03,0.03,3.0,1.0
0.17,11.0,258.0,169.0,200.0,4.0,1.28,5.5,1.57,0.03,2.0,2.0
0.17,11.0,258.0,471.0,5.0,4.0,1.28,5.5,1.57,0.03,2.0,2.0
0.09,11.0,5223.0,109.0,5479.0,4.0,1.27,5.5,1.61,0.02,2.0,1.0
0.09,11.0,690.0,336.0,964.0,1.0,1.31,5.5,1.82,0.29,2.0,1.0
0.09,11.0,690.0,467.0,964.0,1.0,1.31,5.5,1.82,0.29,2.0,1.0
0.13,62.0,11326.0,117.0,11770.0,1.0,1.25,2.64,1.53,0.29,2.0,2.0
0.2,62.0,513.0,345.0,507.0,3.0,1.29,2.64,1.59,0.13,4.0,1.0
0.19,62.0,11.0,124.0,1132.0,3.0,0.95,2.64,0.96,0.01,1.0,1.0
0.19,62.0,355.0,360.0,1759.0,3.0,1.66,2.64,2.98,0.01,1.0,1.0
0.19,2.0,137.0,583.0,206.0,3.0,1.58,4.0,2.0,0.01,1.0,1.0
0.12,2.0,17.0,527.0,1372.0,3.0,1.31,4.0,1.68,0.02,1.0,1.0
0.09,2.0,1112.0,65.0,773.0,2.0,1.32,4.0,1.8,0.14,1.0,1.0
0.19,2.0,23890.399999999987,172.0,17274.99999999997,5.0,1.22,4.0,1.33,0.14,7.0,1.0
0.19,2.0,23890.399999999987,460.0,17274.99999999997,5.0,1.22,4.0,1.33,0.14,7.0,1.0
0.19,2.0,23890.399999999987,483.0,29.0,5.0,1.22,4.0,1.33,0.14,7.0,1.0
0.13,2.0,1555.0,93.0,1916.0,4.0,1.18,4.0,1.41,0.19,4.0,2.0
0.33,2.0,16988.0,39.45,17274.99999999997,5.0,1.22,4.0,1.59,0.08,4.0,1.0
0.5,2.0,1132.0,371.0,718.0,5.0,1.56,4.0,0.7445,0.02,1.0,1.0
0.17,2.0,435.0,281.0,2070.0,5.0,1.48,4.0,1.75,0.02,4.0,1.0
0.46,2.0,23890.399999999987,731.55,2113.0,1.0,1.37,4.0,0.83,0.13,2.0,1.0
0.46,2.0,441.0,326.0,264.0,1.0,1.15,4.0,1.81,0.03,2.0,1.0
0.46,2.0,61.0,482.0,148.0,1.0,1.15,4.0,1.81,0.03,2.0,1.0
0.46,2.0,72.0,484.0,439.0,1.0,1.15,4.0,1.81,0.03,2.0,1.0
0.46,2.0,286.0,639.0,492.0,1.0,1.15,4.0,1.81,0.03,2.0,1.0
0.46,2.0,30.0,655.0,31.0,1.0,1.15,4.0,1.81,0.03,2.0,1.0
0.46,2.0,21.0,649.0,24.0,1.0,1.15,4.0,1.81,0.03,2.0,1.0
0.46,2.0,1182.0,321.0,797.0,1.0,0.82,4.0,2.57,0.01,2.0,1.0
0.46,2.0,284.0,339.0,95.0,1.0,2.88,4.0,2.0,0.02,2.0,1.0
0.46,2.0,2005.0,175.0,2267.0,1.0,2.88,4.0,2.0,0.02,2.0,1.0
0.46,2.0,1973.0,731.55,40.0,1.0,2.88,4.0,2.0,0.02,2.0,1.0
0.54,2.0,1973.0,539.0,312.0,1.0,0.82,4.0,2.0,0.01,2.0,1.0
0.31,2.0,982.0,51.0,364.0,3.0,1.46,4.0,1.46,0.02,4.0,2.0
